drug_item_id,drug_item_generic_name,drug_item_brand_name,code_type,code_value,official_source_table,official_source_version,official_drug_name_zh,official_drug_name_en,official_ingredient,official_atc_code,match_method,confidence,review_status,review_decision,note_text,ready_to_apply
64,Propranolol,Propranolol(Inderol) 心律,NHI,AB091021G0,official_nhi_drug_payment_staging,official_drug_raw_20260522,"""生達""心律錠10毫克",PROPRANOLOL TABLETS 10MG,PROPRANOLOL HCL 10 MG,C07AA05,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=1; evidence official_nhi_drug_payment_staging.id=101699; effective=1021201~9991231.,true
67,Olmesartan,Olmetec 雅脈,NHI,BC25005100,official_nhi_drug_payment_staging,official_drug_raw_20260522,德國第一三共雅脈 膜衣錠 40 毫克,Olmetec film coated tablets 40mg,OLMESARTAN MEDOXOMIL 40 MG,C09CA08,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=10; evidence official_nhi_drug_payment_staging.id=179044; effective=1130401~9991231.,true
69,Rosuvastatin,Crestor 冠脂妥(阿斯),NHI,BC24131100,official_nhi_drug_payment_staging,official_drug_raw_20260522,冠脂妥膜衣錠10毫克,CRESTOR 10MG FILM-COATED TABLETS,ROSUVASTATIN CALCIUM 10 MG,C10AA07,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=10; evidence official_nhi_drug_payment_staging.id=94836; effective=1150401~9991231.,true
75,Telmisartan,MICARDIS 必康平,NHI,BC25446100,official_nhi_drug_payment_staging,official_drug_raw_20260522,倍必康平錠80/5毫克,Twynsta Tablets 80/5mg,TELMISARTAN 80 MG+AMLODIPINE (BESYLATE) 5 MG,C09DB04,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=12; evidence official_nhi_drug_payment_staging.id=180510; effective=1140401~9991231.,true
78,Linagliptin,TRAJENTA 糖漸平,NHI,BC25537100,official_nhi_drug_payment_staging,official_drug_raw_20260522,糖漸平膜衣錠 5毫克,Trajenta 5mg Film-Coated Tablets,LINAGLIPTIN 5 MG,A10BH05,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=15; evidence official_nhi_drug_payment_staging.id=38758; effective=1140601~9991231.,true
81,Saxagliptin5mg+Dapagliflozin10,Qtern 5mg/10mg 控糖穩,NHI,BC27467100,official_nhi_drug_payment_staging,official_drug_raw_20260522,控糖穩膜衣錠5毫克/10毫克,Qtern 5mg/10mg Film-Coated Tablets,DAPAGLIFLOZIN 10 MG+SAXAGLIPTIN 5 MG,A10BD21,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=6; evidence official_nhi_drug_payment_staging.id=39462; effective=1150401~9991231.,true
86,Acarbose,Acarbose 志樂恆,NHI,AB57312100,official_nhi_drug_payment_staging,official_drug_raw_20260522,志樂恆膜衣錠50毫克,"Acarbose F.C. Tablets 50mg ""CYH""",ACARBOSE 50 MG,A10BF01,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=13; evidence official_nhi_drug_payment_staging.id=37476; effective=1150401~9991231.,true
87,Metformin,Metformin 寬樂醣,NHI,AC585341G0,official_nhi_drug_payment_staging,official_drug_raw_20260522,寬樂醣膜衣錠500毫克,"Metformin F.C. Tablets 500mg ""CYH""",METFORMIN HCL 500 MG,A10BA02,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=1; evidence official_nhi_drug_payment_staging.id=37616; effective=1041201~9991231.,true
117,Pentoxifylline,Fylin 暢循,NHI,AC414881G0,official_nhi_drug_payment_staging,official_drug_raw_20260522,"""正和""暢循持續性膜衣錠400毫克（配妥西菲林）","FYLIN RETARD F.C. TABLETS 400MG ""C.H.""(PENTOXIFYLLINE)",PENTOXIFYLLINE 400 MG,C04AD03,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=1; evidence official_nhi_drug_payment_staging.id=174196; effective=1080201~9991231.,true
129,Insulin degludec,Tresiba FlexTouch 諾胰保諾特筆,NHI,KC01053216,official_nhi_drug_payment_staging,official_drug_raw_20260522,諾胰得 諾特筆,Ryzodeg? FlexTouch?,insulin degludec 70 U/ML (UNIT+INSULIN ASPART 30 U/ML (UNIT/ML),A10AD06,prescription_nhi_code,high,auto_accepted,approve,From drug_items.nhi_drug_code primary code; official NHI matches=3; evidence official_nhi_drug_payment_staging.id=40402; effective=1140401~9991231.,true
