effective_nhi_drug_code,raw_nhi_drug_code,corrected_nhi_drug_code,source_photos,occurrence_count,official_drug_name_zh,official_drug_name_en,official_ingredient,official_atc_code,candidate_drug_item_id,drug_item_generic_name,drug_item_brand_name,match_method,confidence,candidate_status,reason,recommended_next_action
BC21571100,BC21571100; BC2157L100,BC21571100,IMG_7202.JPG; IMG_7285.JPG; IMG_7394.jpeg; IMG_7396.JPG; IMG_7464.jpeg; IMG_7624.jpeg; IMG_7627.JPG; IMG_7655.JPG; IMG_7721.jpeg,15,脈優錠５毫克,NORVASC TABLETS 5MG,AMLODIPINE (BESYLATE) 5 MG,C08CA01,21,Amlodipine,Norvasc 脈優,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: norvasc; official token hits: amlodipine; official Chinese term hits: 脈優,review_and_approve_mapping
BC22889100,BC22889100,,IMG_7202.JPG; IMG_7509.JPG,4,立普妥 膜衣錠４０毫克,LIPITOR FILM-COATED TABLETS 40MG,ATORVASTATIN (CALCIUM) 40 MG,C10AA05,24,Atorvastatin,Lipitor 立普妥,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: lipitor; official token hits: atorvastatin; official Chinese term hits: 立普妥,review_and_approve_mapping
BC24131100,BC24131100; BC2413L100,BC24131100,IMG_7285.JPG; IMG_7391.jpeg; IMG_7564.jpeg,5,冠脂妥膜衣錠10毫克,CRESTOR 10MG FILM-COATED TABLETS,ROSUVASTATIN CALCIUM 10 MG,C10AA07,69,Rosuvastatin,Crestor 冠脂妥(阿斯),ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: crestor; official token hits: rosuvastatin; official Chinese term hits: 冠脂妥,review_and_approve_mapping
BC24403100,BC24403100,,IMG_7290.jpeg,1,活路利淨D 持續釋放口溶錠0.2毫克,HARNALIDGE D TABLETS 0.2MG,TAMSULOSIN HCL .2 MG,G04CA02,18,Tamsulosin,Harnalidge D 活路利淨,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: harnalidge; official token hits: tamsulosin; official Chinese term hits: 活路利淨,review_and_approve_mapping
BC25005100,BC25005100,,IMG_7510.jpeg,2,德國第一三共雅脈 膜衣錠 40 毫克,OLMETEC FILM COATED TABLETS 40MG,OLMESARTAN MEDOXOMIL 40 MG,C09CA08,67,Olmesartan,Olmetec 雅脈,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: olmetec; official token hits: olmesartan; official Chinese term hits: 雅脈,review_and_approve_mapping
BC25446100,BC25446100,,IMG_7203.jpeg,1,倍必康平錠80/5毫克,TWYNSTA TABLETS 80/5MG,TELMISARTAN 80 MG+AMLODIPINE (BESYLATE) 5 MG,C09DB04,75,Telmisartan,MICARDIS 必康平,ingredient_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official token hits: telmisartan; official Chinese term hits: 必康平,review_and_approve_mapping
BC25537100,BC25537100,,IMG_7202.JPG,1,糖漸平膜衣錠 5毫克,TRAJENTA 5MG FILM-COATED TABLETS,LINAGLIPTIN 5 MG,A10BH05,78,Linagliptin,TRAJENTA 糖漸平,ingredient_match+brand_token_match+token_contains_match+zh_contains_match,high,strong_match,generic_name appears in official ingredient/name; official brand token hits: trajenta; official token hits: linagliptin; official Chinese term hits: 糖漸平,review_and_approve_mapping
BC27467100,BC27467100,,IMG_7509.JPG,1,控糖穩膜衣錠5毫克/10毫克,QTERN 5MG/10MG FILM-COATED TABLETS,DAPAGLIFLOZIN 10 MG+SAXAGLIPTIN 5 MG,A10BD21,81,Saxagliptin5mg+Dapagliflozin10,Qtern 5mg/10mg 控糖穩,brand_token_match+token_contains_match+zh_contains_match,high,strong_match,"official brand token hits: 10mg, qtern; official token hits: dapagliflozin10, saxagliptin5mg; official Chinese term hits: 控糖穩",review_and_approve_mapping
KC01053216,KC01053216; KC0L053216,KC01053216,IMG_7509.JPG; IMG_7510.jpeg,2,諾胰得 諾特筆,RYZODEG? FLEXTOUCH?,INSULIN DEGLUDEC 70 U/ML (UNIT+INSULIN ASPART 30 U/ML (UNIT/ML),A10AD06,129,Insulin degludec,Tresiba FlexTouch 諾胰保諾特筆,ingredient_match+brand_token_match+token_contains_match,high,strong_match,"generic_name appears in official ingredient/name; official brand token hits: flextouch; official token hits: degludec, insulin",review_and_approve_mapping
AC415191G0,AC415191G0,,IMG_7284.JPG; IMG_7508.JPG; IMG_7658.jpeg; IMG_7675.JPG,6,"""強生"" 福安源錠０．２５公絲（氟二氮平）","FLUPINE TABLETS 0.25MG (FLUDIAZEPAM) ""JOHNSON""",FLUDIAZEPAM 250 MCG,N05BA17,,,,no_match,low,no_drug_item_match,No drug_items generic/brand/alias matched official NHI name or ingredient.,do_not_create_mapping_until_drug_item_review
